published_at,ticker,title,desc,url,source,sentiment,sentiment_score
2025-10-14 21:40:38+00:00,AAPL,ASX Market Open: Rallying Oz happy to ignore Wall Street’s Trump-Beijing worries | Oct 15,"ASX today – Australian shares are barrelling towards a rally at open on Wednesday, defying a tumultuous Trump-hit Wall Street session.",https://themarketonline.com.au/asx-market-open-rallying-oz-happy-to-ignore-wall-streets-trump-beijing-worries-oct-15-2025-10-15/,themarketherald.com.au,,
2025-10-14 20:35:56+00:00,AAPL,Sonder Holdings Inc. Announces Second Quarter 2025 Financial Results,"SAN FRANCISCO, Oct. 14, 2025 (GLOBE NEWSWIRE) -- Sonder Holdings Inc. (Nasdaq: SOND) ('Sonder” or the 'Company”), a leading global brand of premium, design-forward apartments and intimate boutique hotels serving the modern traveler, today announced its financial results for the second quarter 2025, ended June 30, 2025, and filed the related Quarterly Report on Form 10-Q (the 'Q2 2025 Form 10-Q”), which can be found on the Company’s website at investors.sonder.com.",https://www.manilatimes.net/2025/10/15/tmt-newswire/globenewswire/sonder-holdings-inc-announces-second-quarter-2025-financial-results/2200849,manilatimes.net,,
2025-10-14 18:00:47+00:00,AAPL,Trump’s Market Midas Touch: Turning Gold to Volatility (and Back Again),"Ah, the stock market. A bastion of rational exuberance, where calm, calculated decisions dictate the ebb and flow of global capital. Or, if you've been paying",https://stockmarketwatch.com/stock-market-news/trumps-market-midas-touch-turning-gold-to-volatility-and-back-again/54529/,thestockmarketwatch.com,,
2025-09-14 22:39:41+00:00,AAPL,ASX Market Open: Markets pricing in the slice before ‘cemented’ Fed Reserve rate cut | Sep 15,"The ASX is among the bourses pricing in the Fed Reserve slice, with futures pointing to a hefty loss – which pares gains from Friday.",https://themarketonline.com.au/asx-market-open-markets-pricing-in-the-slice-before-cemented-fed-reserve-rate-cut-sep-15-2025-09-15/,themarketherald.com.au,,
2025-09-14 21:38:20+00:00,AAPL,Jim Cramer Says He’s Already Ordered His Apple (AAPL) iPhone,"We recently published 10 Stocks Jim Cramer Discussed As He Remained Optimistic About American Ingenuity. Apple Inc. (NASDAQ:AAPL) is one of the stocks Jim Cramer recently discussed. Naturally, as Cramer discussed Corning in detail during this appearance, the firm’s partnership with Apple Inc. (NASDAQ:AAPL), CEO Tim Cook joining him in the factory, and Apple’s $2.5 […]",https://finance.yahoo.com/news/jim-cramer-says-already-ordered-213820457.html,finance.yahoo.com,,
2025-09-14 17:35:00+00:00,AAPL,1 Thing Elon Musk Said About Self-Driving Cars Every Tesla Investor Should Hear,Elon Musk's simple analogy about how humans drive offers a clear window into Tesla's autonomy strategy.,https://finance.yahoo.com/news/1-thing-elon-musk-said-173500463.html,finance.yahoo.com,,
2025-08-15 21:07:38+00:00,AAPL,Mixed Signals on Wall Street: Dow Hits Record While S&P 500 and Nasdaq Pare Gains Amid Inflation Concerns,"U.S. stock markets concluded Friday, August 15, 2025, with a mixed performance, as investors navigated a landscape of hotter-than-expected inflation data,",https://www2.stockmarketwatch.com/stock-market-news/mixed-signals-on-wall-street-dow-hits-record-while-sp-500-and-nasdaq-pare-gains-amid-inflation-concerns/52054/,thestockmarketwatch.com,,
2025-08-15 18:32:15+00:00,AAPL,Jim Cramer Defends Apple Inc. (AAPL) Against Elon Musk,Apple Inc. (NASDAQ:AAPL)’s shares have entered a period of strong performance after the firm smoothed over its frictions with the Trump administration.,https://www.insidermonkey.com/blog/jim-cramer-defends-apple-inc-aapl-against-elon-musk-1591297/,insidermonkey.com,,
2025-08-15 18:07:39+00:00,AAPL,"Mixed Signals on Wall Street as Dow Hits Record, Tech Stumbles in Afternoon Trading","U.S. equity markets presented a mixed picture in afternoon trading on Friday, August 15, 2025, as investors navigated a landscape of fresh economic data,",https://www2.stockmarketwatch.com/stock-market-news/mixed-signals-on-wall-street-as-dow-hits-record-tech-stumbles-in-afternoon-trading/52047/,thestockmarketwatch.com,,
2025-07-16 19:10:00+00:00,AAPL,"Compelling Buys, Stellar Tech Moves With The Financial Prophet","Victor Dergunov, The Financial Prophet, on very interesting market dynamics and stellar tech moves.",https://seekingalpha.com/article/4801712-compelling-buys-stellar-tech-moves-with-the-financial-prophet,seekingalpha.com,,
2025-07-16 18:30:42+00:00,AAPL,"Trump to impose pharma tariffs by August 1, semiconductors likely next","At a Cabinet meeting earlier this month, Trump said he planned to impose a 50% tariff on copper in the coming weeks, and that he expected pharmaceutical tariffs to grow as high as 200% after giving companies a year to bring manufacturing back to the US. Trump has already announced investigations under Section 232 of the Trade Expansion Act of 1962 on drugs, arguing a flood of foreign imports was threatening national security.",https://economictimes.indiatimes.com/news/international/global-trends/trump-to-impose-pharma-tariffs-by-august-1-semiconductors-likely-next/articleshow/122589779.cms,economictimes.indiatimes.com,,
2025-07-16 16:20:31+00:00,AAPL,Stock Market Today: Stocks moved up despite talk Trump would fire Fed's Powell,"Bloomberg, WSJ others reported Trump plans to fire the Fed chairman soon. When the president backed off the idea, markets recovered from a brief sell-off.",https://finance.yahoo.com/news/stock-market-today-stocks-sag-162031653.html,finance.yahoo.com,,
2025-06-16 22:42:57+00:00,AAPL,"ASX Market Open: Hopes turn on Israel-Iran attacks barely rattling crude price | June 17, 2025","Australian shares are today expected to edge up around +0.1%, recovering some…",https://themarketonline.com.au/asx-market-open-hopes-turn-on-israel-iran-attacks-barely-rattling-crude-price-june-17-2025-2025-06-17/,themarketherald.com.au,,
2025-06-16 22:33:10+00:00,AAPL,"Market Today: Airbus Secures $17B Orders, Alphabet Faces DOJ Scrutiny","Market Recap

    Today, the stock market recovered some losses incurred last Friday, buoyed by a relatively contained Israel-Iran conflict that hasn't disrupte",https://www.gurufocus.com/news/2929903/market-today-airbus-secures-17b-orders-alphabet-faces-doj-scrutiny,gurufocus.com,,
2025-06-16 21:50:13+00:00,AAPL,US Stocks Rebound As Markets Eye Federal Reserve Meeting,U.S. stocks rebounded with optimism that tensions between Israel and Iran might be contained. Investors are also anticipating the Federal Reserve's upcoming mee,https://www.gurufocus.com/news/2929712/us-stocks-rebound-as-markets-eye-federal-reserve-meeting,gurufocus.com,,
2025-05-17 22:36:24+00:00,AAPL,Global Risk Monitor: Weekly Update – May 16,"Financial markets continued to rebound this week, buoyed by temporary trade de-escalations and looser financial conditions. However, beneath the surface of this rally lies a landscape of historically elevated valuations and persistent uncertainty. Market participants should temper optimism, as the sustainability of recent gains remains highly contingent on volatile policy developments and fragile macroeconomic signals. …",https://global-macro-monitor.com/2025/05/17/global-risk-monitor-weekly-update-may-16/,global-macro-monitor.com,,
2025-05-17 22:14:00+00:00,AAPL,The Best Warren Buffett Stocks to Buy With $500 Right Now,"Apple and American Express are two of Berkshire Hathaway's largest investments.  Apple's push into services, in addition to Apple Intelligence, should lead to profitable growth for investors.  American Express is a resilient credit card brand that continues to adapt its offering to win over a new generation of consumers.",https://finance.yahoo.com/news/best-warren-buffett-stocks-buy-221400860.html,finance.yahoo.com,,
2025-05-17 17:15:49+00:00,AAPL,"iPhones, AI, And Alibaba: Why Apple's China Bet Alarms Donald Trump - Alibaba Gr Hldgs (NYSE:BABA)",Apple's AI partnership with Alibaba for Chinese iPhones faces U.S. backlash over national security and data-sharing concerns.,https://www.benzinga.com/markets/equities/25/05/45483036/iphones-ai-and-alibaba-why-apples-china-bet-alarms-donald-trump,benzinga.com,,
2025-04-17 22:47:28+00:00,AAPL,Adams Diversified Equity Fund Announces First Quarter 2025 Performance,**media[598579]**,https://www.manilatimes.net/2025/04/18/tmt-newswire/globenewswire/adams-diversified-equity-fund-announces-first-quarter-2025-performance/2094821,manilatimes.net,,
2025-04-17 20:59:00+00:00,AAPL,"Top Analyst Reports for Apple, Philip Morris & Sony","Today's Research Daily features new research reports on 16 major stocks, including Bank of Apple Inc. (AAPL), Philip Morris International Inc. (PM) and Sony Group Corp. (SONY), as well as a micro-cap stock Vaso Corp. (VASO).",https://www.zacks.com/research-daily/2450371/top-analyst-reports-for-apple-philip-morris-sony?cid=CS-ZC-FT-research_daily-2450371,zacks.com,,
2025-04-17 20:21:44+00:00,AAPL,"Netflix Earnings: Record Profits And Sales Send Stock To Nearly $1,000",Netflix scored its best ever sales and earnings last quarter.,https://www.forbes.com/sites/dereksaul/2025/04/17/netflix-earnings-record-profits-and-sales-send-stock-to-nearly-1000/,forbes.com,,
2025-03-18 21:37:57+00:00,AAPL,Google-Wiz deal is 'litmus test' for Trump administration's handling of Big Tech,"After Google agreed to buy security software vendor Wiz for $32 billion on Tuesday, the Trump administration will get an early chance to weigh in on Big Tech.",https://www.cnbc.com/2025/03/18/google-wiz-deal-litmus-test-for-trump-admin-handling-of-big-tech.html,cnbc.com,,
2025-03-18 20:22:26+00:00,AAPL,US stocks cannot get out of the red today,Trump and Putin don't help.  Nvidia conference doesn't help,https://www.forexlive.com/stock-market-update/us-stocks-cant-get-out-of-the-red-today-20250318/,forexlive.com,,
2025-03-18 20:11:12+00:00,AAPL,Meta Becomes Final Magnificent 7 Stock to Turn Negative in 2025,"(Bloomberg) -- Meta Platforms Inc. tumbled into negative territory for the year on Tuesday, becoming the last of the so-called Magnificent Seven stocks to lose its year-to-date gain.Most Read from BloombergICE Eyes Massive California Tent Facility Amid Space ConstraintsHow Britain’s Most Bike-Friendly New Town Got BuiltThe Dark Prophet of Car-Clogged CitiesWashington, DC, Region Braces for ‘Devastating’ Cuts from CongressNYC Plans for Flood Protection Without Federal FundsThe Facebook parent fel",https://finance.yahoo.com/news/meta-becomes-final-magnificent-7-162726983.html,finance.yahoo.com,,
2025-02-16 23:30:00+00:00,AAPL,Cathie Wood Goes Bargain Hunting. Here's 1,Cathie Wood just scooped up shares in one particular big tech artificial intelligence (AI) stock.,https://finance.yahoo.com/news/cathie-wood-goes-bargain-hunting-233000109.html,finance.yahoo.com,,
2025-02-16 23:00:00+00:00,AAPL,Why This Google Executive Thinks the Hype Around DeepSeek Is Overblown,"Chinese company DeepSeek said its AI chatbot performed similarly to ChatGPT and that it cost less than $6 million to develop, causing many to wonder whether tech giants are spending effectively when it comes to AI.  One company that falls into that category is Alphabet (NASDAQ: GOOG) (NASDAQ: GOOGL), which owns Google and has been developing its own chatbot, Gemini.  Demis Hassabis is the CEO of Google DeepMind, which is involved with AI development at the tech company.",https://finance.yahoo.com/news/why-google-executive-thinks-hype-230000541.html,finance.yahoo.com,,
2025-02-16 19:22:00+00:00,AAPL,Gen Q4 Threat Report: 321 Threats Blocked Per Second As Social Media Becomes A Playground For Scammers,"Social media platforms remained one of the prime grounds for scams and cybercrime at the end of 2024. Facebook stands out, accounting for a staggering 56 percent of total identified threats. YouTube trails behind , followed by X, Reddit and Instagram.",https://www.scoop.co.nz/stories/BU2502/S00154/gen-q4-threat-report-321-threats-blocked-per-second-as-social-media-becomes-a-playground-for-scammers.htm,scoop.co.nz,,
2025-01-17 22:43:26+00:00,AAPL,"OpenAI finalizes 'o3 mini' reasoning AI model version, to launch it soon By Reuters","OpenAI finalizes 'o3 mini' reasoning AI model version, to launch it soon",https://www.investing.com/news/stock-market-news/openai-finalizes-o3-mini-reasoning-ai-model-version-to-launch-it-soon-3819745,investing.com,,
2025-01-17 22:25:32+00:00,AAPL,Mawson Infrastructure Group Inc. Appoints William C. Regan as Chief Financial Officer,**media[518160]**,https://www.manilatimes.net/2025/01/18/tmt-newswire/globenewswire/mawson-infrastructure-group-inc-appoints-william-c-regan-as-chief-financial-officer/2040956,manilatimes.net,,
