published_at,ticker,title,desc,url,source,sentiment,sentiment_score
2025-10-19 15:17:22+00:00,META,Analyst Explains Why Meta Platforms (META) Signed Data Center Deal With Coreweave,"We recently published 10 Trending Stocks to Watch as Brad Gerstner Explains Tailwinds for AI Trade – ’10x Manhattan Project’. Meta Platforms Inc (NASDAQ:META) is one of the trending stocks to watch. James Van Geelen, the founder and portfolio manager at Citrini Research, was asked during a podcast on Bloomberg why Meta Platforms Inc (NASDAQ:META) […]",https://finance.yahoo.com/news/analyst-explains-why-meta-platforms-151722421.html,finance.yahoo.com,,
2025-10-19 02:37:11+00:00,META,"As San Francisco Rents Surge, AI Startups Offer Housing Benefits To Keep Workers Close - Meta Platforms (NASDAQ:META)",AI startups like Cluely and Lindy are offering luxury housing and six-figure salaries to compete for top talent amid soaring Bay Area rents.,https://www.benzinga.com/markets/tech/25/10/48292893/as-san-francisco-rents-surge-ai-startups-offer-housing-benefits-to-keep-workers-close,benzinga.com,,
2025-10-18 08:08:10+00:00,META,"Meta, Blue Owl Strike $30 Billion Private Capital Deal For AI Data Center - Meta Platforms (NASDAQ:META)","Meta Platforms Inc. (NASDAQ: META) is nearing a $30 billion financing deal for its Hyperion data center in Richland Parish, Louisiana, which would be the largest private capital raise on record, according to a report published on Friday.",https://www.benzinga.com/markets/tech/25/10/48291383/meta-blue-owl-strike-30-billion-private-capital-deal-for-ai-data-center,benzinga.com,,
2025-09-19 20:26:03+00:00,META,Meta considers tapping Oracle for AI cloud compute in potential $20B deal: report (ORCL:NYSE),"Meta Platforms (META) is reportedly considering the use of Oracle's (ORCL) cloud services for training and deploying artificial intelligence models in a multiyear deal worth approximately $20B, according to Bloomberg.",https://seekingalpha.com/news/4496730-meta-considers-tapping-oracle-for-ai-cloud-compute-in-potential-20b-deal-report,seekingalpha.com,,
2025-09-19 17:52:56+00:00,META,Meta looking to enter power-trading business as AI demand surges,Meta Platforms (META) is looking to enter the wholesale power-trading business so it can better manage the electricity needs of its data centers.,https://seekingalpha.com/news/4496693-meta-looking-to-enter-power-trading-business-as-ai-demand-surges,seekingalpha.com,,
2025-09-19 16:02:19+00:00,META,Market Whales and Their Recent Bets on META Options - Meta Platforms (NASDAQ:META),,https://www.benzinga.com/insights/options/25/09/47766695/market-whales-and-their-recent-bets-on-meta-options,benzinga.com,,
2025-08-20 20:15:29+00:00,META,Louisiana regulator approves Entergy's plan to power Meta data center (ETR:NYSE),Entergy said the Louisiana Public Service Commission approved its plan to build three new combined cycle combustion turbine generation facilities to power Meta’s new data center in the state,https://seekingalpha.com/news/4487654-louisiana-regulator-approves-entergys-plan-to-power-meta-data-center,seekingalpha.com,,
2025-08-20 20:02:09+00:00,META,Meta Platforms Unusual Options Activity - Meta Platforms (NASDAQ:META),,https://www.benzinga.com/insights/options/25/08/47245786/meta-platforms-unusual-options-activity,benzinga.com,,
2025-08-20 17:53:19+00:00,META,"Smart Money Dumps Stocks Popular With Retail Investors; Palantir's Chart Tells The Story - Strategy (NASDAQ:MSTR), Palantir Technologies (NASDAQ:PLTR)",,https://www.benzinga.com/markets/equities/25/08/47242902/smart-money-dumps-stocks-popular-with-retail-investors-palantirs-chart-tells-the-story,benzinga.com,,
2025-07-21 19:30:15+00:00,META,Meta (META) Lures OpenAI Talent with Lucrative Offers | META Stock News,"Meta (META) has extended enticing offers to researchers from OpenAI, with CEO Mark Zuckerberg reportedly proposing packages valued at $300 million over a span o",https://www.gurufocus.com/news/2991376/meta-meta-lures-openai-talent-with-lucrative-offers-meta-stock-news,gurufocus.com,,
